Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,,11,2024-01-04t19:00:00.000,2024-01-04t19:11:00.000,,fsp,,2024-01-04t23:45:00.000,,air saint pierre,1124,pj1124
departure,active,yul,a55,29,2024-01-04t19:05:00.000,2024-01-04t19:05:00.000,2024-01-04t19:33:00.000,cdg,2e,2024-01-05t08:05:00.000,2024-01-05t07:38:00.000,delta air lines,8612,dl8612
departure,active,yul,a51,26,2024-01-04t19:10:00.000,2024-01-04t19:08:00.000,2024-01-04t19:35:00.000,yyz,1,2024-01-04t20:46:00.000,2024-01-04t20:27:00.000,azul,7807,ad7807
departure,active,yul,a6,13,2024-01-04t19:25:00.000,2024-01-04t19:25:00.000,2024-01-04t19:38:00.000,yyz,3,2024-01-04t21:00:00.000,2024-01-04t20:35:00.000,porter,130,p3130
departure,active,yul,a64,38,2024-01-04t19:40:00.000,2024-01-04t19:57:00.000,2024-01-04t20:18:00.000,lhr,2,2024-01-05t07:10:00.000,2024-01-05t07:10:00.000,lufthansa,6839,lh6839
departure,active,yul,a47,60,2024-01-04t19:45:00.000,2024-01-04t20:45:00.000,,yyc,,2024-01-04t22:43:00.000,,lufthansa,6844,lh6844
departure,active,yul,c86,21,2024-01-04t19:45:00.000,2024-01-04t20:06:00.000,,ord,2,2024-01-04t21:23:00.000,,united airlines,8687,ua8687
departure,active,yul,c89,25,2024-01-04t19:50:00.000,2024-01-04t20:00:00.000,2024-01-04t20:15:00.000,dca,1,2024-01-04t21:45:00.000,2024-01-04t21:29:00.000,united airlines,8366,ua8366
departure,active,yul,a1,14,2024-01-04t20:00:00.000,2024-01-04t19:58:00.000,2024-01-04t20:13:00.000,ywg,,2024-01-04t22:17:00.000,2024-01-04t21:52:00.000,lufthansa,6556,lh6556
departure,active,yul,c76,21,2024-01-04t20:00:00.000,2024-01-04t20:21:00.000,,lga,b,2024-01-04t21:38:00.000,,united airlines,8400,ua8400
departure,active,yul,c79,21,2024-01-04t20:00:00.000,2024-01-04t20:21:00.000,,ewr,a,2024-01-04t21:44:00.000,,tap air portugal,8069,tp8069
departure,active,yul,a8,4,2024-01-04t20:00:00.000,2024-01-04t20:00:00.000,2024-01-04t20:04:00.000,yhz,,2024-01-04t22:41:00.000,2024-01-04t22:25:00.000,air transat,7829,ts7829
departure,active,yul,a59,38,2024-01-04t20:05:00.000,2024-01-04t20:05:00.000,2024-01-04t20:42:00.000,mrs,1a,2024-01-05t09:35:00.000,,porter airlines,7434,pd7434
departure,active,yul,a50,35,2024-01-04t20:10:00.000,2024-01-04t20:45:00.000,,yyz,1,2024-01-04t21:46:00.000,,eva air,3089,br3089
departure,active,yul,a68,28,2024-01-04t20:10:00.000,2024-01-04t20:11:00.000,2024-01-04t20:38:00.000,agp,,2024-01-05t09:15:00.000,2024-01-05t09:08:00.000,air transat,252,ts252
departure,active,yul,a61,18,2024-01-04t20:15:00.000,2024-01-04t20:15:00.000,2024-01-04t20:32:00.000,muc,2,2024-01-05t09:30:00.000,2024-01-05t09:08:00.000,air canada,9098,ac9098
departure,active,yul,a65,21,2024-01-04t20:20:00.000,2024-01-04t20:20:00.000,2024-01-04t20:40:00.000,cdg,3,2024-01-05t09:20:00.000,2024-01-05t08:57:00.000,porter airlines,7110,pd7110
departure,active,yul,a57,29,2024-01-04t20:25:00.000,2024-01-04t20:38:00.000,2024-01-04t20:54:00.000,gva,1,2024-01-05t10:05:00.000,2024-01-05t09:36:00.000,lufthansa,6829,lh6829
departure,active,yul,a52,16,2024-01-04t20:30:00.000,2024-01-04t20:30:00.000,2024-01-04t20:46:00.000,mxp,1,2024-01-05t10:25:00.000,2024-01-05t09:40:00.000,lufthansa,6757,lh6757
departure,active,yul,a66,53,2024-01-04t20:35:00.000,2024-01-04t20:59:00.000,2024-01-04t21:27:00.000,cmn,2,2024-01-05t09:10:00.000,,royal air maroc,209,at209
departure,active,yul,a48,23,2024-01-04t20:45:00.000,2024-01-04t20:55:00.000,2024-01-04t21:08:00.000,yeg,,2024-01-04t23:37:00.000,2024-01-04t23:19:00.000,lufthansa,6711,lh6711
