Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a63,55,2023-12-04t19:05:00.000,2023-12-04t20:00:00.000,,cdg,2e,2023-12-05t08:05:00.000,,delta air lines,8612,dl8612
departure,active,yul,61,50,2023-12-04t19:05:00.000,2023-12-04t19:55:00.000,,ams,,2023-12-05t08:05:00.000,,air france,8276,af8276
departure,active,yul,a50,47,2023-12-04t19:10:00.000,2023-12-04t19:57:00.000,,yyz,1,2023-12-04t20:46:00.000,,azul,7807,ad7807
departure,active,yul,c85,0,2023-12-04t19:15:00.000,2023-12-04t19:15:00.000,,mco,c,2023-12-04t22:55:00.000,,lynx air,661,y9661
departure,active,yul,a64,31,2023-12-04t19:40:00.000,2023-12-04t20:11:00.000,,lhr,2,2023-12-05t07:10:00.000,,aegean airlines,3089,a33089
departure,active,yul,a6,22,2023-12-04t19:40:00.000,2023-12-04t20:02:00.000,,yyz,3,2023-12-04t21:15:00.000,,porter,130,p3130
departure,active,yul,a9,67,2023-12-04t19:45:00.000,2023-12-04t20:52:00.000,,yyc,,2023-12-04t22:43:00.000,,lufthansa,6844,lh6844
departure,active,yul,c77,75,2023-12-04t19:45:00.000,2023-12-04t21:00:00.000,,ord,2,2023-12-04t21:23:00.000,,united airlines,8687,ua8687
departure,active,yul,c73,60,2023-12-04t19:50:00.000,2023-12-04t20:50:00.000,,dca,1,2023-12-04t21:45:00.000,,united airlines,8366,ua8366
departure,active,yul,a1,154,2023-12-04t20:00:00.000,2023-12-04t22:34:00.000,,ywg,,2023-12-04t22:17:00.000,,lufthansa,6556,lh6556
departure,active,yul,c73,85,2023-12-04t20:00:00.000,2023-12-04t21:25:00.000,,lga,b,2023-12-04t21:38:00.000,,united airlines,8400,ua8400
departure,cancelled,yul,c86,30,2023-12-04t20:00:00.000,2023-12-04t20:30:00.000,,ewr,a,2023-12-04t21:44:00.000,,tap air portugal,8069,tp8069
departure,active,yul,a8,0,2023-12-04t20:00:00.000,2023-12-04t20:00:00.000,,yhz,,2023-12-04t22:41:00.000,,air transat,7829,ts7829
departure,active,yul,a17,35,2023-12-04t20:00:00.000,2023-12-04t20:35:00.000,,yvr,d,2023-12-04t22:39:00.000,,lynx air,168,y9168
departure,active,yul,a48,65,2023-12-04t20:10:00.000,2023-12-04t21:15:00.000,,yyz,1,2023-12-04t21:46:00.000,,eva air,3089,br3089
departure,cancelled,yul,a65,145,2023-12-04t20:15:00.000,2023-12-04t22:40:00.000,,muc,2,2023-12-05t09:30:00.000,,air canada,9098,ac9098
departure,active,yul,a67,32,2023-12-04t20:20:00.000,2023-12-04t20:52:00.000,,cdg,3,2023-12-05t09:20:00.000,,porter airlines,7110,pd7110
departure,active,yul,a52,47,2023-12-04t20:25:00.000,2023-12-04t21:12:00.000,,tls,,2023-12-05t09:50:00.000,,lufthansa,6753,lh6753
departure,active,yul,a57,70,2023-12-04t20:30:00.000,2023-12-04t21:40:00.000,,del,3,2023-12-05t21:50:00.000,,united airlines,8041,ua8041
departure,active,yul,a60,54,2023-12-04t20:35:00.000,2023-12-04t21:29:00.000,,cmn,2,2023-12-05t09:10:00.000,,royal air maroc,209,at209
departure,active,yul,a47,79,2023-12-04t20:45:00.000,2023-12-04t22:04:00.000,,yeg,,2023-12-04t23:37:00.000,,lufthansa,6711,lh6711
departure,active,yul,a30,65,2023-12-04t20:45:00.000,2023-12-04t21:50:00.000,,yow,,2023-12-04t21:34:00.000,,lufthansa,6692,lh6692
departure,active,yul,a61,81,2023-12-04t20:45:00.000,2023-12-04t22:06:00.000,,lhr,5,2023-12-05t08:20:00.000,,finnair,5994,ay5994
departure,active,yul,a23,74,2023-12-04t20:50:00.000,2023-12-04t22:04:00.000,,yfc,,2023-12-04t23:15:00.000,,united airlines,8164,ua8164
departure,active,yul,a27,74,2023-12-04t20:50:00.000,2023-12-04t22:04:00.000,,yqm,,2023-12-04t23:20:00.000,,lufthansa,6774,lh6774
departure,active,yul,a56,73,2023-12-04t20:50:00.000,2023-12-04t22:03:00.000,,doh,,2023-12-05t17:00:00.000,,malaysia airlines,9296,mh9296
departure,active,yul,a4,48,2023-12-04t21:00:00.000,2023-12-04t21:15:00.000,2023-12-04t21:48:00.000,yhz,,2023-12-04t23:36:00.000,2023-12-04t23:56:00.000,lufthansa,6594,lh6594
