Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a61,19,2024-01-20t23:10:00.000,2024-01-20t23:10:00.000,2024-01-20t23:28:00.000,mex,2,2024-01-21t04:40:00.000,2024-01-21t03:50:00.000,latam airlines,7599,la7599
departure,active,yul,,26,2024-01-20t19:45:00.000,2024-01-20t20:06:00.000,2024-01-20t20:10:00.000,ord,,2024-01-20t21:08:00.000,2024-01-20t21:03:00.000,air canada,967,ac967
departure,active,yul,,28,2024-01-20t20:00:00.000,2024-01-20t20:21:00.000,2024-01-20t20:28:00.000,lga,,2024-01-20t21:31:00.000,2024-01-20t21:22:00.000,air canada,646,ac646
departure,active,yul,,21,2024-01-20t20:00:00.000,2024-01-20t20:21:00.000,,ewr,,2024-01-20t21:35:00.000,,air canada,946,ac946
departure,active,yul,a2,27,2024-01-21t05:00:00.000,2024-01-21t05:00:00.000,2024-01-21t05:26:00.000,yyz,1,2024-01-21t06:34:00.000,2024-01-21t06:29:00.000,air canada,7773,ac7773
departure,active,yul,a1,20,2024-01-21t06:00:00.000,2024-01-21t05:54:00.000,2024-01-21t06:19:00.000,yyz,1,2024-01-21t07:40:00.000,2024-01-21t07:16:00.000,air canada,481,ac481
departure,active,yul,c86,14,2024-01-21t06:00:00.000,2024-01-21t06:06:00.000,2024-01-21t06:13:00.000,dtw,em,2024-01-21t08:20:00.000,2024-01-21t07:41:00.000,korean air,3362,ke3362
departure,active,yul,a57,32,2024-01-21t06:00:00.000,2024-01-21t06:00:00.000,2024-01-21t06:32:00.000,pop,,2024-01-21t11:20:00.000,2024-01-21t11:25:00.000,sunwing,470,wg470
departure,active,yul,a55,27,2024-01-21t06:00:00.000,2024-01-21t06:00:00.000,2024-01-21t06:27:00.000,cun,2,2024-01-21t10:55:00.000,2024-01-21t10:55:00.000,sunwing,2743,wg2743
departure,active,yul,c80,13,2024-01-21t06:05:00.000,2024-01-21t06:20:00.000,2024-01-21t06:18:00.000,ord,1,2024-01-21t08:15:00.000,2024-01-21t07:15:00.000,air canada,3054,ac3054
departure,active,yul,c87,33,2024-01-21t06:30:00.000,2024-01-21t06:30:00.000,2024-01-21t07:03:00.000,lga,c,2024-01-21t08:21:00.000,2024-01-21t07:56:00.000,westjet,8705,ws8705
departure,active,yul,c76,35,2024-01-21t06:30:00.000,2024-01-21t06:30:00.000,2024-01-21t07:05:00.000,fll,4,2024-01-21t10:20:00.000,2024-01-21t10:19:00.000,porter airlines,7844,pd7844
departure,active,yul,a64,58,2024-01-21t06:45:00.000,2024-01-21t07:43:00.000,,mbj,,2024-01-21t11:30:00.000,,air transat,484,ts484
