Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,55,37,2023-11-08t19:05:00.000,2023-11-08t19:49:00.000,2023-11-08t19:41:00.000,cdg,2e,2023-11-09t08:05:00.000,2023-11-09t07:56:00.000,delta air lines,8612,dl8612
departure,cancelled,yul,a57,10,2023-11-08t19:05:00.000,2023-11-08t19:15:00.000,,ams,,2023-11-09t08:05:00.000,,air france,8276,af8276
departure,active,yul,a1,56,2023-11-08t19:10:00.000,2023-11-08t19:35:00.000,2023-11-08t20:06:00.000,yyz,1,2023-11-08t20:46:00.000,,azul,7807,ad7807
departure,active,yul,a68,22,2023-11-08t19:15:00.000,2023-11-08t19:36:00.000,2023-11-08t19:36:00.000,ath,,2023-11-09t11:30:00.000,2023-11-09t10:59:00.000,aegean airlines,3071,a33071
departure,active,yul,a66,29,2023-11-08t19:40:00.000,2023-11-08t19:50:00.000,2023-11-08t20:09:00.000,lhr,2,2023-11-09t07:10:00.000,2023-11-09t07:13:00.000,aegean airlines,3089,a33089
departure,active,yul,c76,23,2023-11-08t19:40:00.000,2023-11-08t19:48:00.000,2023-11-08t20:03:00.000,mco,b,2023-11-08t23:18:00.000,2023-11-08t22:50:00.000,air canada rouge,1638,rv1638
departure,active,yul,a9,39,2023-11-08t19:45:00.000,2023-11-08t19:55:00.000,2023-11-08t20:24:00.000,yyc,,2023-11-08t22:43:00.000,2023-11-08t22:41:00.000,lufthansa,6844,lh6844
departure,active,yul,c79,27,2023-11-08t19:45:00.000,2023-11-08t20:12:00.000,,ord,2,2023-11-08t21:23:00.000,,united airlines,8687,ua8687
departure,active,yul,c85,0,2023-11-08t19:50:00.000,2023-11-08t19:47:00.000,,dca,1,2023-11-08t21:45:00.000,,united airlines,8366,ua8366
departure,active,yul,a48,16,2023-11-08t20:00:00.000,2023-11-08t19:55:00.000,2023-11-08t20:15:00.000,ywg,,2023-11-08t22:17:00.000,2023-11-08t21:52:00.000,lufthansa,6556,lh6556
departure,active,yul,c80,13,2023-11-08t20:00:00.000,2023-11-08t20:13:00.000,,lga,b,2023-11-08t21:38:00.000,,united airlines,8400,ua8400
departure,active,yul,c81,23,2023-11-08t20:00:00.000,2023-11-08t20:23:00.000,,ewr,a,2023-11-08t21:44:00.000,,tap air portugal,8069,tp8069
departure,active,yul,a8,39,2023-11-08t20:00:00.000,2023-11-08t20:00:00.000,2023-11-08t20:38:00.000,yhz,,2023-11-08t22:41:00.000,2023-11-08t22:59:00.000,air transat,7829,ts7829
departure,active,yul,a47,25,2023-11-08t20:10:00.000,2023-11-08t20:35:00.000,,yyz,1,2023-11-08t21:46:00.000,,eva air,3089,br3089
departure,active,yul,a61,26,2023-11-08t20:15:00.000,2023-11-08t20:15:00.000,2023-11-08t20:41:00.000,muc,2,2023-11-09t09:30:00.000,2023-11-09t09:23:00.000,air canada,9098,ac9098
departure,active,yul,a67,14,2023-11-08t20:15:00.000,2023-11-08t20:11:00.000,2023-11-08t20:28:00.000,lis,1,2023-11-09t07:45:00.000,2023-11-09t07:17:00.000,porter airlines,7680,pd7680
departure,active,yul,a65,16,2023-11-08t20:20:00.000,2023-11-08t20:20:00.000,2023-11-08t20:36:00.000,cdg,3,2023-11-09t09:20:00.000,2023-11-09t08:53:00.000,porter airlines,7110,pd7110
