Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a52,40,2023-10-12t20:00:00.000,2023-10-12t20:40:00.000,,cdg,2b,2023-10-13t08:50:00.000,,aegean airlines,3063,a33063
departure,active,yul,a4,65,2023-10-12t20:00:00.000,2023-10-12t21:05:00.000,,yqb,,2023-10-12t20:55:00.000,,lufthansa,6646,lh6646
departure,active,yul,c77,12,2023-10-12t20:00:00.000,2023-10-12t20:12:00.000,,lga,b,2023-10-12t21:30:00.000,,united airlines,8400,ua8400
departure,active,yul,c89,21,2023-10-12t20:00:00.000,2023-10-12t20:21:00.000,,dca,1,2023-10-12t21:51:00.000,,united airlines,8366,ua8366
departure,active,yul,a8,25,2023-10-12t20:00:00.000,2023-10-12t20:13:00.000,2023-10-12t20:25:00.000,yhz,,2023-10-12t22:41:00.000,2023-10-12t22:48:00.000,air transat,7829,ts7829
departure,active,yul,a48,40,2023-10-12t20:10:00.000,2023-10-12t20:50:00.000,,yyz,1,2023-10-12t21:34:00.000,,azul,7807,ad7807
departure,active,yul,a47,35,2023-10-12t20:15:00.000,2023-10-12t20:50:00.000,,yyt,,2023-10-13t00:08:00.000,,lufthansa,6686,lh6686
departure,active,yul,a63,38,2023-10-12t20:15:00.000,2023-10-12t20:50:00.000,2023-10-12t20:53:00.000,mrs,1a,2023-10-13t09:25:00.000,2023-10-13t09:49:00.000,westjet,5315,ws5315
departure,active,yul,a51,20,2023-10-12t20:20:00.000,2023-10-12t20:40:00.000,,gva,1,2023-10-13t09:50:00.000,,lufthansa,6829,lh6829
departure,active,yul,a1,5,2023-10-12t20:30:00.000,2023-10-12t20:23:00.000,2023-10-12t20:35:00.000,ywg,,2023-10-12t22:39:00.000,2023-10-12t22:05:00.000,lufthansa,6556,lh6556
departure,active,yul,a9,12,2023-10-12t20:30:00.000,2023-10-12t20:30:00.000,2023-10-12t20:42:00.000,yvr,d,2023-10-12t23:15:00.000,2023-10-12t22:41:00.000,porter airlines,7772,pd7772
departure,active,yul,a49,39,2023-10-12t20:35:00.000,2023-10-12t20:50:00.000,2023-10-12t21:14:00.000,yqm,,2023-10-12t22:53:00.000,2023-10-12t23:14:00.000,lufthansa,6774,lh6774
departure,active,yul,a6,46,2023-10-12t20:45:00.000,2023-10-12t21:15:00.000,2023-10-12t21:31:00.000,yeg,,2023-10-12t23:24:00.000,2023-10-12t23:30:00.000,emirates,5789,ek5789
departure,active,yul,a50,31,2023-10-12t20:50:00.000,2023-10-12t20:50:00.000,2023-10-12t21:21:00.000,lys,1,2023-10-13t10:15:00.000,2023-10-13t09:55:00.000,lufthansa,6729,lh6729
departure,active,yul,a57,70,2023-10-12t20:50:00.000,2023-10-12t22:00:00.000,,muc,2,2023-10-13t10:10:00.000,,air canada,9098,ac9098
departure,active,yul,a15,1,2023-10-12t20:55:00.000,2023-10-12t20:55:00.000,2023-10-12t20:55:00.000,ytz,,2023-10-12t22:14:00.000,2023-10-12t22:03:00.000,porter airlines,2462,pd2462
departure,active,yul,a27,6,2023-10-12t21:10:00.000,2023-10-12t21:31:00.000,2023-10-12t21:16:00.000,yfc,,2023-10-12t23:21:00.000,2023-10-12t23:06:00.000,united airlines,8164,ua8164
departure,active,yul,a68,0,2023-10-12t21:15:00.000,2023-10-12t21:14:00.000,,nce,1,2023-10-13t10:55:00.000,,brussels airlines,9660,sn9660
departure,active,yul,a58,24,2023-10-12t21:25:00.000,2023-10-12t21:25:00.000,2023-10-12t21:48:00.000,cdg,2b,2023-10-13t10:20:00.000,2023-10-13t09:55:00.000,lufthansa,6819,lh6819
departure,active,yul,a66,17,2023-10-12t21:25:00.000,2023-10-12t21:22:00.000,2023-10-12t21:42:00.000,vce,,2023-10-13t11:10:00.000,2023-10-13t10:55:00.000,air transat,406,ts406
departure,active,yul,a1,25,2023-10-12t21:30:00.000,2023-10-12t21:45:00.000,2023-10-12t21:55:00.000,yyz,1,2023-10-12t22:54:00.000,2023-10-12t22:50:00.000,eva air,3091,br3091
departure,active,yul,a34,15,2023-10-12t21:30:00.000,2023-10-12t21:45:00.000,,yow,,2023-10-12t22:13:00.000,,lufthansa,6720,lh6720
departure,active,yul,a67,30,2023-10-12t21:30:00.000,2023-10-12t21:30:00.000,2023-10-12t21:59:00.000,cdg,3,2023-10-13t10:20:00.000,2023-10-13t10:17:00.000,porter airlines,7110,pd7110
departure,active,yul,a50,80,2023-10-12t21:50:00.000,2023-10-12t23:10:00.000,,del,3,2023-10-13t21:45:00.000,,united airlines,8064,ua8064
departure,active,yul,a61,13,2023-10-12t21:50:00.000,2023-10-12t21:50:00.000,2023-10-12t22:02:00.000,cmn,2,2023-10-13t09:30:00.000,2023-10-13t09:12:00.000,royal air maroc,209,at209
departure,active,yul,a2,11,2023-10-12t22:00:00.000,2023-10-12t21:53:00.000,2023-10-12t22:10:00.000,yqb,,2023-10-12t22:55:00.000,2023-10-12t22:42:00.000,air canada rouge,1970,rv1970
departure,active,yul,a51,150,2023-10-12t22:00:00.000,2023-10-13t00:30:00.000,,lhr,2,2023-10-13t09:35:00.000,,aegean airlines,3089,a33089
departure,active,yul,a7,100,2023-10-12t22:05:00.000,2023-10-12t23:45:00.000,,yhz,,2023-10-13t00:35:00.000,,lufthansa,6594,lh6594
departure,active,yul,a56,11,2023-10-12t22:05:00.000,2023-10-12t22:05:00.000,2023-10-12t22:16:00.000,lgw,n,2023-10-13t09:50:00.000,2023-10-13t09:25:00.000,porter airlines,7728,pd7728
departure,active,yul,a55,20,2023-10-12t22:10:00.000,2023-10-12t22:08:00.000,2023-10-12t22:29:00.000,lhr,5,2023-10-13t09:40:00.000,2023-10-13t09:21:00.000,finnair,5994,ay5994
departure,active,yul,a6,33,2023-10-12t22:15:00.000,2023-10-12t22:34:00.000,2023-10-12t22:47:00.000,yyz,3,2023-10-12t23:40:00.000,2023-10-12t23:41:00.000,air transat,7732,ts7732
departure,active,yul,a4,65,2023-10-12t22:15:00.000,2023-10-12t23:20:00.000,,yvr,m,2023-10-13t00:45:00.000,,lynx air,168,y9168
departure,active,yul,a65,3,2023-10-12t22:30:00.000,2023-10-12t22:12:00.000,2023-10-12t22:32:00.000,ams,,2023-10-13t11:25:00.000,2023-10-13t10:55:00.000,porter airlines,7324,pd7324
departure,active,yul,a63,45,2023-10-12t22:35:00.000,2023-10-12t23:20:00.000,,doh,,2023-10-13t17:35:00.000,,malaysia airlines,9296,mh9296
departure,active,yul,a60,18,2023-10-12t22:40:00.000,2023-10-12t22:40:00.000,2023-10-12t22:57:00.000,lis,1,2023-10-13t10:30:00.000,2023-10-13t10:06:00.000,tap air portugal,254,tp254
departure,active,yul,a52,39,2023-10-12t22:45:00.000,2023-10-12t23:09:00.000,2023-10-12t23:23:00.000,bog,1,2023-10-13t04:00:00.000,2023-10-13t04:01:00.000,air canada,98,ac98
departure,active,yul,a64,17,2023-10-12t23:10:00.000,2023-10-12t23:10:00.000,2023-10-12t23:27:00.000,mex,2,2023-10-13t02:58:00.000,2023-10-13t02:25:00.000,westjet,6106,ws6106
departure,active,yul,a68,4,2023-10-12t23:45:00.000,2023-10-12t23:45:00.000,2023-10-12t23:48:00.000,bcn,2,2023-10-13t13:00:00.000,2023-10-13t12:29:00.000,air transat,260,ts260
