Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a57,13,2024-01-08t21:45:00.000,2024-01-08t21:45:00.000,2024-01-08t21:57:00.000,lis,1,2024-01-09t09:25:00.000,2024-01-09t09:01:00.000,tap air portugal,254,tp254
departure,active,yul,a1,15,2024-01-08t21:50:00.000,2024-01-08t21:50:00.000,2024-01-08t22:05:00.000,yqb,,2024-01-08t22:48:00.000,2024-01-08t22:33:00.000,lufthansa,6640,lh6640
departure,active,yul,a56,0,2024-01-08t21:50:00.000,2024-01-08t21:45:00.000,2024-01-08t21:47:00.000,amm,,2024-01-09t16:10:00.000,2024-01-09t15:37:00.000,royal jordanian,272,rj272
departure,active,yul,a48,140,2024-01-08t22:00:00.000,2024-01-09t00:20:00.000,,yyz,1,2024-01-08t23:36:00.000,,air canada,429,ac429
departure,active,yul,a64,49,2024-01-08t23:10:00.000,2024-01-08t23:59:00.000,,mex,2,2024-01-09t04:35:00.000,,latam airlines,7599,la7599
departure,active,yul,,41,2024-01-08t19:45:00.000,2024-01-08t20:26:00.000,,ord,,2024-01-08t21:08:00.000,,air canada,967,ac967
departure,active,yul,,14,2024-01-08t20:00:00.000,2024-01-08t20:21:00.000,2024-01-08t20:13:00.000,lga,,2024-01-08t21:31:00.000,2024-01-08t21:03:00.000,air canada,646,ac646
departure,active,yul,,26,2024-01-08t20:00:00.000,2024-01-08t20:21:00.000,2024-01-08t20:25:00.000,ewr,,2024-01-08t21:19:00.000,2024-01-08t21:25:00.000,air canada,946,ac946
departure,active,yul,a2,43,2024-01-09t05:00:00.000,2024-01-09t05:30:00.000,2024-01-09t05:43:00.000,yyz,1,2024-01-09t06:34:00.000,2024-01-09t06:41:00.000,air canada,7773,ac7773
departure,active,yul,a1,15,2024-01-09t06:00:00.000,2024-01-09t05:57:00.000,2024-01-09t06:14:00.000,yyz,1,2024-01-09t07:40:00.000,2024-01-09t07:16:00.000,air canada,481,ac481
departure,active,yul,c87,16,2024-01-09t06:00:00.000,2024-01-09t06:10:00.000,2024-01-09t06:16:00.000,dtw,em,2024-01-09t08:20:00.000,2024-01-09t07:44:00.000,aeromexico,4327,am4327
departure,active,yul,a52,11,2024-01-09t06:00:00.000,2024-01-09t06:00:00.000,2024-01-09t06:10:00.000,ccc,,2024-01-09t10:00:00.000,2024-01-09t09:41:00.000,sunwing,6204,wg6204
departure,active,yul,a59,23,2024-01-09t06:00:00.000,2024-01-09t06:00:00.000,2024-01-09t06:22:00.000,vra,,2024-01-09t10:00:00.000,2024-01-09t09:49:00.000,sunwing,6286,wg6286
departure,active,yul,,2,2024-01-09t06:00:00.000,,2024-01-09t06:02:00.000,ygk,,2024-01-09t07:00:00.000,2024-01-09t06:46:00.000,air creebec,703,yn703
departure,active,yul,c80,16,2024-01-09t06:05:00.000,2024-01-09t06:05:00.000,2024-01-09t06:21:00.000,ord,2,2024-01-09t08:15:00.000,2024-01-09t07:20:00.000,air canada,3054,ac3054
departure,active,yul,c88,12,2024-01-09t06:30:00.000,2024-01-09t06:46:00.000,2024-01-09t06:41:00.000,lga,c,2024-01-09t08:21:00.000,2024-01-09t07:41:00.000,westjet,7787,ws7787
departure,active,yul,c56,32,2024-01-09t06:30:00.000,2024-01-09t06:40:00.000,2024-01-09t07:02:00.000,fll,4,2024-01-09t10:20:00.000,2024-01-09t10:15:00.000,porter airlines,7844,pd7844
departure,active,yul,a34,20,2024-01-09t06:45:00.000,2024-01-09t06:45:00.000,2024-01-09t07:04:00.000,yqb,,2024-01-09t07:40:00.000,2024-01-09t07:37:00.000,pal airlines,832,pb832
departure,active,yul,c76,55,2024-01-09t06:45:00.000,2024-01-09t07:40:00.000,,tpa,,2024-01-09t10:30:00.000,,air canada rouge,1616,rv1616
departure,active,yul,a67,16,2024-01-09t06:45:00.000,2024-01-09t06:41:00.000,2024-01-09t07:01:00.000,ptp,,2024-01-09t12:35:00.000,2024-01-09t12:17:00.000,air transat,894,ts894
departure,active,yul,c77,51,2024-01-09t06:45:00.000,2024-01-09t07:36:00.000,,mco,a,2024-01-09t10:20:00.000,,air transat,2820,ts2820
departure,active,yul,c81,18,2024-01-09t07:00:00.000,2024-01-09t07:31:00.000,2024-01-09t07:18:00.000,mia,c,2024-01-09t11:05:00.000,2024-01-09t10:34:00.000,qatar airways,2236,qr2236
departure,active,yul,a51,10,2024-01-09t07:00:00.000,2024-01-09t06:56:00.000,2024-01-09t07:10:00.000,yyz,1,2024-01-09t08:36:00.000,2024-01-09t08:15:00.000,egyptair,9603,ms9603
departure,active,yul,c86,24,2024-01-09t07:00:00.000,2024-01-09t07:09:00.000,2024-01-09t07:24:00.000,atl,i,2024-01-09t10:13:00.000,2024-01-09t09:53:00.000,aeromexico,4314,am4314
departure,active,yul,c84,22,2024-01-09t07:00:00.000,2024-01-09t07:22:00.000,,msp,1,2024-01-09t09:30:00.000,,air france,2208,af2208
departure,active,yul,a8,3,2024-01-09t07:00:00.000,2024-01-09t06:51:00.000,2024-01-09t07:03:00.000,ytz,,2024-01-09t08:25:00.000,2024-01-09t08:11:00.000,porter,2452,p32452
departure,active,yul,c82,29,2024-01-09t07:00:00.000,2024-01-09t06:53:00.000,2024-01-09t07:28:00.000,ewr,c,2024-01-09t09:03:00.000,2024-01-09t08:32:00.000,air canada,4594,ac4594
departure,active,yul,a25,22,2024-01-09t07:00:00.000,2024-01-09t07:09:00.000,2024-01-09t07:21:00.000,yhz,,2024-01-09t09:50:00.000,2024-01-09t09:43:00.000,air canada,8244,ac8244
departure,active,yul,a63,31,2024-01-09t07:00:00.000,2024-01-09t07:10:00.000,2024-01-09t07:30:00.000,fdf,,2024-01-09t13:05:00.000,2024-01-09t12:59:00.000,air transat,738,ts738
departure,active,yul,a57,26,2024-01-09t07:00:00.000,2024-01-09t07:00:00.000,2024-01-09t07:25:00.000,hog,,2024-01-09t11:10:00.000,2024-01-09t11:19:00.000,sunwing,6244,wg6244
departure,active,yul,a60,45,2024-01-09t07:05:00.000,2024-01-09t07:50:00.000,,puj,a,2024-01-09t12:30:00.000,,air transat,398,ts398
departure,active,yul,a68,12,2024-01-09t07:05:00.000,2024-01-09t07:05:00.000,2024-01-09t07:16:00.000,snu,,2024-01-09t11:10:00.000,2024-01-09t10:47:00.000,air transat,712,ts712
departure,active,yul,a5,90,2024-01-09t07:10:00.000,2024-01-09t08:40:00.000,,yvr,d,2024-01-09t10:00:00.000,,cathay pacific,1505,cx1505
departure,active,yul,a65,25,2024-01-09t07:15:00.000,2024-01-09t07:15:00.000,2024-01-09t07:40:00.000,rih,,2024-01-09t13:15:00.000,2024-01-09t12:53:00.000,air transat,216,ts216
departure,active,yul,a64,29,2024-01-09t07:15:00.000,2024-01-09t07:15:00.000,2024-01-09t07:44:00.000,azs,,2024-01-09t12:35:00.000,2024-01-09t12:32:00.000,air transat,2972,ts2972
departure,active,yul,c79,30,2024-01-09t07:16:00.000,2024-01-09t08:03:00.000,2024-01-09t07:45:00.000,clt,,2024-01-09t10:16:00.000,2024-01-09t09:43:00.000,american airlines,5037,aa5037
departure,active,yul,55,17,2024-01-09t07:18:00.000,2024-01-09t07:35:00.000,,pty,1,2024-01-09t13:39:00.000,,copa airlines,484,cm484
departure,active,yul,c83,15,2024-01-09t07:19:00.000,2024-01-09t07:41:00.000,2024-01-09t07:33:00.000,lga,b,2024-01-09t09:05:00.000,2024-01-09t08:25:00.000,american airlines,4469,aa4469
