Model,RMSE,R^2 Score,Bias
LinearRegression,0.7772006850251975,0.013614266196277813,0.04268010988496642
RandomForestRegressor,0.8591629469272553,-0.20540089859755462,0.08973781659450933
GradientBoostingRegressor,0.7671763264180166,0.03889503959289864,0.04175692977866792
XGBRegressor,0.8722737985774024,-0.24247050428526817,0.055524299090257564
SVR,0.7823099711003673,0.0006027172541697157,-0.118400107398269
Ensemble,0.7704607182563132,0.03064816803472792,0.02225980959002645
