Status,Departure Gate,Arrival IATA Code,Scheduled Departure Time,Departure Delay (min),Airline Name,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Rain 1h,Snow 1h
landed,C84,DTW,2024-04-18 17:00:00,45.0,Delta Air Lines,8.59,7.74,1019,78,1.79,135,100,Clouds,0.0,0.0
landed,C88,DTW,2024-04-18 07:00:00,7.0,Delta Air Lines,5.51,4.18,1019,65,1.79,45,100,Clouds,0.0,0.0
scheduled,A63,DXB,2024-04-18 10:00:00,79.0,Emirates,4.3,2.79,1018,69,1.79,45,100,Clouds,0.0,0.0
scheduled,,EWR,2024-04-18 20:00:00,45.0,empty,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
landed,C80,EWR,2024-04-18 08:00:00,12.0,Air Canada,4.94,2.68,1018,67,2.68,45,100,Clouds,0.0,0.0
landed,C79,EWR,2024-04-18 13:00:00,28.0,Air Canada,8.61,7.05,1018,59,2.68,90,100,Clouds,0.0,0.0
landed,C73,EWR,2024-04-18 15:00:00,67.0,Air Canada,10.48,9.31,1019,66,1.79,158,100,Clouds,0.0,0.0
scheduled,C80,EWR,2024-04-18 20:00:00,56.0,Air Canada,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
landed,,EWR,2024-04-18 20:00:00,55.0,Air Canada,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
active,,EWR,2024-04-18 20:00:00,40.0,Jazz,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
landed,C82,EWR,2024-04-18 06:00:00,38.0,United Airlines,6.04,3.67,1019,64,3.13,68,100,Clouds,0.0,0.0
landed,C80,EWR,2024-04-18 18:00:00,72.0,United Airlines,7.4,5.3,1020,86,3.13,135,100,Rain,2.13,0.0
landed,C84,EWR,2024-04-18 11:00:00,17.0,United Airlines,4.48,2.99,1018,69,1.79,23,100,Clouds,0.0,0.0
landed,A51,FCO,2024-04-18 19:00:00,24.0,Air Canada,6.87,5.75,1020,89,1.79,135,100,Rain,0.42,0.0
landed,A67,FDF,2024-04-18 09:00:00,21.0,Air Canada,4.68,3.22,1018,68,1.79,68,100,Clouds,0.0,0.0
landed,A67,FDF,2024-04-18 07:00:00,6.0,Air Transat,5.51,4.18,1019,65,1.79,45,100,Clouds,0.0,0.0
landed,C56,FLL,2024-04-18 08:00:00,14.0,Air Canada,4.94,2.68,1018,67,2.68,45,100,Clouds,0.0,0.0
landed,C56,FLL,2024-04-18 14:00:00,14.0,Air Canada,10.23,8.85,1019,59,1.34,90,100,Clouds,0.0,0.0
landed,C83,FLL,2024-04-18 11:00:00,26.0,Flair Airlines,4.48,2.99,1018,69,1.79,23,100,Clouds,0.0,0.0
landed,C76,FLL,2024-04-18 07:00:00,19.0,Air Canada Rouge,5.51,4.18,1019,65,1.79,45,100,Clouds,0.0,0.0
landed,C75,FLL,2024-04-18 16:00:00,9.0,Air Canada Rouge,9.73,8.69,1019,70,2.24,135,100,Clouds,0.0,0.0
landed,C56,FLL,2024-04-18 06:00:00,4.0,Air Transat,6.04,3.67,1019,64,3.13,68,100,Clouds,0.0,0.0
landed,C83,FLL,2024-04-18 16:00:00,39.0,Air Transat,9.73,8.69,1019,70,2.24,135,100,Clouds,0.0,0.0
landed,A58,FRA,2024-04-18 18:00:00,36.0,Air Canada,7.4,5.3,1020,86,3.13,135,100,Rain,2.13,0.0
landed,A61,FRA,2024-04-18 18:00:00,20.0,Lufthansa,7.4,5.3,1020,86,3.13,135,100,Rain,2.13,0.0
scheduled,,GCM,2024-04-18 14:00:00,57.0,VistaJet,10.23,8.85,1019,59,1.34,90,100,Clouds,0.0,0.0
landed,,GUA,2024-04-18 21:00:00,28.0,Sunwing,6.37,4.06,1020,92,3.13,135,100,Clouds,0.0,0.0
landed,A67,GVA,2024-04-18 20:00:00,33.0,Air Canada,6.59,5.0,1020,91,2.24,113,100,Clouds,0.0,0.0
active,A61,HOG,2024-04-18 15:00:00,39.0,Air Transat,10.48,9.31,1019,66,1.79,158,100,Clouds,0.0,0.0
scheduled,A61,HOG,2024-04-18 07:00:00,68.0,Sunwing,5.51,4.18,1019,65,1.79,45,100,Clouds,0.0,0.0
landed,C73,IAD,2024-04-18 18:00:00,23.0,Air Canada,7.4,5.3,1020,86,3.13,135,100,Rain,2.13,0.0
landed,C80,IAD,2024-04-18 13:00:00,20.0,United Airlines,8.61,7.05,1018,59,2.68,90,100,Clouds,0.0,0.0
landed,C86,IAD,2024-04-18 09:00:00,16.0,United Airlines,4.68,3.22,1018,68,1.79,68,100,Clouds,0.0,0.0
landed,C77,IAH,2024-04-18 09:00:00,11.0,Air Canada,4.68,3.22,1018,68,1.79,68,100,Clouds,0.0,0.0
landed,C81,JFK,2024-04-18 19:00:00,20.0,Air Canada,6.87,5.75,1020,89,1.79,135,100,Rain,0.42,0.0
landed,C84,JFK,2024-04-18 18:00:00,28.0,Delta Air Lines,7.4,5.3,1020,86,3.13,135,100,Rain,2.13,0.0
landed,C86,JFK,2024-04-18 12:00:00,25.0,Delta Air Lines,6.28,5.61,1019,64,1.34,90,100,Clouds,0.0,0.0
landed,A58,AMM,2024-03-11 22:00:00,10.0,Royal Jordanian,2.85,0.19,1005,58,2.68,293,66,Clouds,0.0,0.0
landed,A61,AMS,2024-03-11 20:00:00,15.0,KLM,2.12,-1.4,1003,66,3.58,248,100,Clouds,0.0,0.0
landed,,ANC,2024-03-11 12:00:00,9.0,VistaJet,-3.27,-10.27,998,75,7.72,290,100,Clouds,0.0,0.0
active,,ATL,2024-03-11 18:00:00,,empty,0.18,-2.99,1002,70,2.68,293,100,Clouds,0.0,0.0
landed,,ATL,2024-03-11 18:00:00,51.0,Air Canada,0.18,-2.99,1002,70,2.68,293,100,Clouds,0.0,0.0
active,C76,ATL,2024-03-11 18:00:00,50.0,Air Canada,0.18,-2.99,1002,70,2.68,293,100,Clouds,0.0,0.0
landed,C84,ATL,2024-03-11 13:00:00,14.0,Delta Air Lines,-2.79,-9.59,999,75,7.2,290,100,Clouds,0.0,0.0
landed,C85,ATL,2024-03-11 07:00:00,32.0,Delta Air Lines,-3.49,-10.49,995,86,8.23,270,100,Mist,0.0,0.0
landed,C82,ATL,2024-03-11 18:00:00,12.0,Delta Air Lines,0.18,-2.99,1002,70,2.68,293,100,Clouds,0.0,0.0
scheduled,,ATL,2024-03-11 18:00:00,21.0,Jazz,0.18,-2.99,1002,70,2.68,293,100,Clouds,0.0,0.0
landed,A64,BCN,2024-03-11 19:00:00,19.0,Air Canada,1.38,-1.56,1002,68,2.68,293,100,Clouds,0.0,0.0
landed,A52,BGI,2024-03-11 09:00:00,13.0,Air Canada,-3.73,-10.73,994,84,8.23,280,100,Clouds,0.0,0.0
diverted,,BOS,2024-03-11 07:00:00,,Airsprint,-3.49,-10.49,995,86,8.23,270,100,Mist,0.0,0.0
landed,C86,BOS,2024-03-11 08:00:00,66.0,Air Canada,-3.7,-10.7,995,82,8.75,270,75,Clouds,0.0,0.0
scheduled,C75,BOS,2024-03-11 16:00:00,108.0,Air Canada,-0.85,-5.65,1001,73,4.47,270,100,Clouds,0.0,0.0
landed,A50,BRU,2024-03-11 19:00:00,19.0,Air Canada,1.38,-1.56,1002,68,2.68,293,100,Clouds,0.0,0.0
active,A67,CCC,2024-03-11 17:00:00,27.0,Air Transat,-0.5,-7.5,1001,71,9.77,290,100,Clouds,0.0,0.0
active,A61,CCC,2024-03-11 06:00:00,37.0,Sunwing,-3.56,-10.56,995,90,7.72,270,100,Mist,0.0,0.37
landed,A55,CDG,2024-03-11 22:00:00,14.0,Air Canada,2.85,0.19,1005,58,2.68,293,66,Clouds,0.0,0.0
landed,A58,CDG,2024-03-11 19:00:00,11.0,Air Canada,1.38,-1.56,1002,68,2.68,293,100,Clouds,0.0,0.0
