Departure Delay (min),Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Rain 1h,Snow 1h,Departure Gate,Arrival IATA Code,Airline Name,Weather Main,Departure Time of Day,Weekday of Departure,Weather Severity,Season,Visibility
0.8192668449267856,2.16647579710177,2.0742237447390703,0.22020367436726795,-2.133133014080935,-0.8673923746849338,0.45628738555035375,0.7667611539087752,-0.15595403613210118,-0.1836758772780989,31.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.8071879798294104,2.16647579710177,2.0742237447390703,0.22020367436726795,-2.133133014080935,-0.8673923746849338,0.45628738555035375,0.7667611539087752,-0.15595403613210118,-0.1836758772780989,22.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.12288463266848001,0.28513966145095593,0.5867748352622444,0.6536972499662537,0.42800146786659615,-0.9594411790168019,0.8979088380511505,-1.8703823027944282,-0.15595403613210118,-0.1836758772780989,9.0,13.0,17.0,0.0,2.0,1.0,1.0,0.0,0.0
-0.1712000930579808,0.8209910432783474,0.8556848127833823,0.6536972499662537,1.2400684987280086,-0.34961785031817627,-0.6428593406738515,0.793398966602747,-0.15595403613210118,-0.1836758772780989,22.0,10.0,10.0,1.0,1.0,4.0,1.0,0.0,0.0
-0.18327895815535603,1.390516145821668,1.415589162114834,0.5453238560665072,-0.3215988683131691,-0.5222093584404288,-0.20123788817305477,0.793398966602747,-0.15595403613210118,-0.1836758772780989,11.0,13.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0
-0.17603163909693087,-0.11748091232645577,-0.18228171880787034,-1.297023840229182,-0.07173208958658067,-0.180861709043085,1.1236264693293356,0.793398966602747,-0.15595403613210118,-0.1836758772780989,22.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.05041144208422882,-0.11748091232645577,-0.18228171880787034,-1.297023840229182,-0.07173208958658067,-0.180861709043085,1.1236264693293356,0.793398966602747,-0.15595403613210118,-0.1836758772780989,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.3282253393238584,-0.21703799966050663,-0.7681677084795285,-1.4053972341289285,-0.009265394904933567,2.5384133855941817,1.0941850391626158,0.793398966602747,-0.15595403613210118,-0.1836758772780989,17.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.20743668835010642,-0.6650448926637357,-1.1656868056846892,-2.055637597527407,1.1776018040463614,1.752163181926143,0.8979088380511505,0.793398966602747,-0.15595403613210118,1.1154389632629425,11.0,2.0,17.0,3.0,2.0,1.0,0.0,0.0,1.0
-0.3886196648107344,0.24707371629381877,-0.10043955173621959,-0.3216632951314642,0.303068078503302,1.357120396668543,0.7997707374954179,0.793398966602747,-0.15595403613210118,-0.1836758772780989,13.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0
-0.4369351252002352,0.3129570829119407,0.3256593498431682,-0.6467834768307035,0.7403349412748317,-0.34961785031817627,0.8979088380511505,0.7401233412148035,-0.15595403613210118,-0.1836758772780989,15.0,2.0,17.0,1.0,2.0,3.0,1.0,1.0,0.0
