Departure IATA Code,Arrival IATA Code,latitude,longitude,flt_distance
yul,zsa,24.0633,-74.524,2380.8734042895376
yul,ywk,52.9219,-66.8644,967.1979082924696
yul,ltn,51.8747,-0.368333,5203.260650303352
yul,mzt,23.1614,-106.266,3836.809723286492
yul,pit,40.4915,-80.2329,763.9936074974819
yul,gso,36.0978,-79.9373,1163.9498025401747
yul,ilg,39.6787,-75.6065,661.2311258232991
yul,pvd,41.7326,-71.4204,455.32024714604
yul,bed,42.47,-71.289,386.7473915574025
yul,pap,18.58,-72.2925,2992.567633419089
yul,ygl,53.6253,-77.7042,950.8181716079492
yul,sea,47.449,-122.309,3665.6301402789804
yul,yyr,53.3192,-60.4258,1296.952897479703
yul,det,,,
yul,ath,37.9364,23.9445,7632.46749808383
yul,sjd,23.1518,-109.721,4077.1516221038664
yul,cyo,21.6165,-81.546,2745.430570186394
yul,apf,26.1526,-81.7753,2263.4190936354903
yul,nce,43.6584,7.21587,6129.381693694402
yul,frg,40.7288,-73.4134,527.4083016437692
yul,mlb,28.1028,-80.6453,2024.1320594502454
yul,san,32.7336,-117.19,3951.035138135546
yul,atw,44.2581,-88.5191,1170.430026232178
yul,mad,40.4719,-3.56264,5553.365563884857
yul,qro,20.6173,-100.186,3668.394740404758
yul,yku,53.8056,-78.9169,998.6823346017994
yul,bdl,41.9392,-72.6833,401.30757096080185
yul,bod,44.8283,-0.715556,5518.681341396282
yul,btv,44.4719,-73.1533,119.92385410221762
yul,apa,39.5701,-104.849,2614.2281463015756
yul,alb,42.7483,-73.8017,302.1948029191605
yul,yul,45.4657,-73.7455,0.0
yul,hnd,35.5533,139.781,10397.567677562674
yul,yqa,44.9747,-79.3033,438.6290445822632
yul,ymx,45.6702,-74.0324,31.872468525304225
yul,mzo,20.2881,-77.0892,2816.349297946246
yul,fok,40.8437,-72.6318,521.8077761984573
yul,mla,35.8575,14.4775,7139.070687674236
yul,hou,29.6454,-95.2789,2572.5523967102004
yul,opf,25.907,-80.2784,2251.491713669842
yul,lex,38.0365,-84.6059,1220.320108044479
yul,ymm,56.6533,-111.222,2852.5897087457056
yul,ygr,47.4247,-61.7781,941.4058389551736
yul,cai,30.1219,31.4056,8730.058497740853
yul,yyj,48.6469,-123.426,3713.1748297689514
yul,cph,55.6179,12.656,5802.424582629736
yul,vce,45.5053,12.3519,6358.702926644602
yul,opo,41.2481,-8.68139,5135.835427072239
yul,opo,41.2356,-8.67806,5136.737732854071
yul,eri,42.0831,-80.1739,638.317066581298
yul,hvn,41.2637,-72.8868,472.3615569562789
yul,kef,63.985,-22.6056,3728.2469237145215
yul,swf,41.5042,-74.1047,441.45013339148227
yul,far,46.9207,-96.8158,1776.6656250114136
yul,phx,33.4343,-112.012,3507.035096959061
yul,pwm,43.6462,-70.3093,339.15351414458036
yul,yvb,48.0711,-65.4603,693.8685212486865
yul,mke,42.9472,-87.8966,1160.5081135266373
