Departure Delay (min),Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Rain 1h,Snow 1h,Departure Gate,Arrival IATA Code,Airline Name,Weather Main,Departure Time of Day,Weekday of Departure,Weather Severity,Season,Visibility
0.7604284242533336,2.214598452934777,2.121356718374242,0.1719870129505131,-2.181065246612094,-0.8649663031782371,0.48489719134258036,0.7352872022098836,-0.16509417315792713,-0.1926723061434772,31.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.7487102194076669,2.214598452934777,2.121356718374242,0.1719870129505131,-2.181065246612094,-0.8649663031782371,0.48489719134258036,0.7352872022098836,-0.16509417315792713,-0.1926723061434772,22.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.15359155370866193,0.32298554149194086,0.6246476159715179,0.6035003131820696,0.3749984136015971,-0.9582435921264261,0.9207524487451438,-1.9262716182528161,-0.16509417315792713,-0.1926723061434772,9.0,13.0,17.0,0.0,2.0,1.0,1.0,0.0,0.0
-0.20046437309132836,0.8617640049846085,0.8952317069735823,0.6035003131820696,1.1854576229376454,-0.3402815528446748,-0.5998981159704665,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,22.0,10.0,10.0,1.0,1.0,4.0,1.0,0.0,0.0
-0.21218257793699496,1.434400131483646,1.458621770847446,0.49562198812418057,-0.37311777963167847,-0.5151764696225289,-0.16404285856790304,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,11.0,13.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0
-0.20515165502959498,-0.0818343422798723,-0.14919674090395169,-1.3383095378599348,-0.12374571522058661,-0.16927318977299524,1.1435229136397873,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,22.0,0.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.08328232463466227,-0.0818343422798723,-0.14919674090395169,-1.3383095378599348,-0.12374571522058661,-0.16927318977299524,1.1435229136397873,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.35280103608499425,-0.18193525899435703,-0.7387301952127975,-1.446187862917824,-0.06140269911781365,2.5862933879047505,1.1144658964796164,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,17.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.23561898762832817,-0.6323893842095382,-1.1387240688680236,-2.0934578132651587,1.1231146068348725,1.7895498781389703,0.9207524487451438,0.7621716347398099,-0.16509417315792713,1.0861275699402995,11.0,2.0,17.0,3.0,2.0,1.0,0.0,0.0,1.0
-0.4113920603133273,0.28471166157169664,-0.0668450610337581,-0.3674046123389326,0.25031238139605116,1.3892348464029936,0.8238957248779075,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,13.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0
-0.4582648796959937,0.35095491527981154,0.361906542099948,-0.6910395875126,0.6867134941154619,-0.3402815528446748,0.9207524487451438,0.7084027696799574,-0.16509417315792713,-0.1926723061434772,15.0,2.0,17.0,1.0,2.0,3.0,1.0,1.0,0.0
-0.4113920603133273,-0.68538398717603,-0.5321974107764391,0.38774366306629143,-0.9342049245566351,-0.690071386400383,0.9207524487451438,-0.8240098845258395,-0.16509417315792713,-0.1926723061434772,22.0,17.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0
