Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number,Timestamp,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Weather Description,Rain 1h,Snow 1h
landed,YUL,C85,FLL,2024-04-08 16:00:00,2024-04-08 16:00:00,21.0,Air Transat,TS846,2024-04-08 16:00:00,13.44,12.15,1019,50,1.79,270,0,Clear,clear sky,0.0,0.0
scheduled,YUL,A58,FRA,2024-04-08 18:00:00,2024-04-08 20:00:00,106.0,Air Canada,AC844,2024-04-08 18:00:00,16.72,15.36,1018,35,2.68,270,2,Clear,clear sky,0.0,0.0
landed,YUL,A59,FRA,2024-04-08 18:00:00,2024-04-08 18:00:00,33.0,Lufthansa,LH479,2024-04-08 18:00:00,16.72,15.36,1018,35,2.68,270,2,Clear,clear sky,0.0,0.0
landed,YUL,A57,GUA,2024-04-08 21:00:00,2024-04-08 21:00:00,30.0,Flair Airlines,F87201,2024-04-08 21:00:00,16.75,15.39,1016,35,3.13,248,99,Clouds,overcast clouds,0.0,0.0
scheduled,YUL,A56,HOG,2024-04-08 15:00:00,2024-04-08 15:00:00,43.0,Air Transat,TS358,2024-04-08 15:00:00,11.15,9.78,1020,56,0.45,225,0,Clear,clear sky,0.0,0.0
active,YUL,A59,HOG,2024-04-08 07:00:00,2024-04-08 07:00:00,44.0,Sunwing,WG6146,2024-04-08 07:00:00,2.93,2.93,1020,78,0.65,270,0,Clear,clear sky,0.0,0.0
landed,YUL,C88,IAD,2024-04-08 18:00:00,2024-04-08 19:00:00,32.0,Air Canada,AC8725,2024-04-08 18:00:00,16.72,15.36,1018,35,2.68,270,2,Clear,clear sky,0.0,0.0
landed,YUL,C80,IAD,2024-04-08 13:00:00,2024-04-08 14:00:00,27.0,United Airlines,UA3414,2024-04-08 13:00:00,6.85,6.85,1021,69,0.89,248,0,Clear,clear sky,0.0,0.0
landed,YUL,C80,IAD,2024-04-08 09:00:00,2024-04-08 09:00:00,16.0,United Airlines,UA3590,2024-04-08 09:00:00,2.08,0.85,1020,80,1.35,227,0,Clear,clear sky,0.0,0.0
landed,YUL,C85,IAH,2024-04-08 09:00:00,2024-04-08 10:00:00,11.0,Air Canada,AC581,2024-04-08 09:00:00,2.08,0.85,1020,80,1.35,227,0,Clear,clear sky,0.0,0.0
landed,YUL,C76,JFK,2024-04-08 19:00:00,2024-04-08 19:00:00,21.0,Air Canada,AC8898,2024-04-08 19:00:00,17.42,16.08,1017,33,2.68,270,98,Clouds,overcast clouds,0.0,0.0
landed,YUL,C85,JFK,2024-04-08 18:00:00,2024-04-08 19:00:00,28.0,Delta Air Lines,DL5151,2024-04-08 18:00:00,16.72,15.36,1018,35,2.68,270,2,Clear,clear sky,0.0,0.0
landed,YUL,C86,JFK,2024-04-08 12:00:00,2024-04-08 12:00:00,19.0,Delta Air Lines,DL5425,2024-04-08 12:00:00,4.38,2.88,1021,76,1.79,270,0,Clear,clear sky,0.0,0.0
landed,YUL,C58,LAS,2024-04-08 08:00:00,2024-04-08 08:00:00,36.0,Air Canada,AC1273,2024-04-08 08:00:00,3.03,3.03,1020,76,1.1,222,0,Clear,clear sky,0.0,0.0
landed,YUL,C77,LAS,2024-04-08 19:00:00,2024-04-08 20:00:00,61.0,Air Canada,AC1275,2024-04-08 19:00:00,17.42,16.08,1017,33,2.68,270,98,Clouds,overcast clouds,0.0,0.0
unknown,YUL,,LAS,2024-04-08 09:00:00,,,Delta Air Lines,DL612,2024-04-08 09:00:00,2.08,0.85,1020,80,1.35,227,0,Clear,clear sky,0.0,0.0
landed,YUL,C83,LAX,2024-04-08 18:00:00,2024-04-08 18:00:00,53.0,Air Canada,AC781,2024-04-08 18:00:00,16.72,15.36,1018,35,2.68,270,2,Clear,clear sky,0.0,0.0
landed,YUL,C81,LGA,2024-04-08 10:00:00,2024-04-08 10:00:00,21.0,American Airlines,AA4550,2024-04-08 10:00:00,1.84,-0.91,1020,79,2.57,250,0,Clear,clear sky,0.0,0.0
landed,YUL,C81,LGA,2024-04-08 17:00:00,2024-04-08 17:00:00,30.0,American Airlines,AA4772,2024-04-08 17:00:00,15.61,14.24,1019,39,2.24,203,0,Clear,clear sky,0.0,0.0
landed,YUL,,LGA,2024-04-08 20:00:00,2024-04-08 20:00:00,17.0,Air Canada,AC646,2024-04-08 20:00:00,15.78,14.38,1016,37,0.89,225,99,Clouds,overcast clouds,0.0,0.0
landed,YUL,C73,LGA,2024-04-08 06:00:00,2024-04-08 06:00:00,21.0,Air Canada,AC8632,2024-04-08 06:00:00,3.79,3.79,1020,75,0.87,288,1,Clear,clear sky,0.0,0.0
landed,YUL,C83,LGA,2024-04-08 08:00:00,2024-04-08 08:00:00,20.0,Air Canada,AC8634,2024-04-08 08:00:00,3.03,3.03,1020,76,1.1,222,0,Clear,clear sky,0.0,0.0
landed,YUL,C73,LGA,2024-04-08 10:00:00,2024-04-08 11:00:00,24.0,Air Canada,AC8636,2024-04-08 10:00:00,1.84,-0.91,1020,79,2.57,250,0,Clear,clear sky,0.0,0.0
